ID;Enzyme;SKU EoF;Batch ID;Year;Month;Fermenter;MF (%);Chroma (%);Stab (%);Granulation (%);Fermentation sequence;Start date;Month required
1;EDP;11901;1;2024;July;V100;100;0;0;0;1;;July
2;ASG;14469;2;2024;July;V100;100;0;0;0;2;;July
3;ROM;24455;3;2024;July;V100;0;0;0;0;3;;July
4;FUR;10996;4;2024;July;V100;0;0;0;0;4;;July
5;FUR;10996;5;2024;July;V100;0;0;0;0;5;;July
6;EDP;11901;6;2024;July;V100;100;0;0;0;6;;July
7;BXN;20322;7;2024;July;V140;0;0;0;0;1;;July
8;PBN;4629;8;2024;July;V140;0;0;0;0;2;;July
9;GPP;17235;9;2024;July;V140;0;0;0;0;3;;July
10;ARF;4555;10;2024;July;V140;0;0;0;0;4;;July
11;MAM;10998;11;2024;July;V140;0;0;0;0;5;;July
12;BGF;4564;12;2024;July;V140;0;0;0;0;6;;July
13;MAX;4631;13;2024;July;V200;100;0;0;0;1;;July
14;GPP;17235;14;2024;July;V200;0;0;0;0;2;;July
15;CIN;17510;15;2024;July;V200;100;0;0;0;3;;July
16;MAX;4631;16;2024;July;V200;100;0;0;0;4;;July
17;INV;10244;17;2024;July;V200;0;0;0;0;5;;July
18;GOX;4589;18;2024;July;V218;0;0;0;0;1;;July
19;EDX;4681;19;2024;July;V218;0;0;0;0;2;;July
20;EDP;11901;20;2024;July;V218;0;0;0;0;3;;July
21;TAN;13133;21;2024;July;V218;0;0;0;0;4;;July
22;ASG;14469;22;2024;July;V218;100;0;0;0;5;;July
23;XEA;15253;23;2024;July;V42;0;0;0;0;1;;July