,SKU Interm 1,SKU EoF,Enzyme,Fermenter,Batch weight (kg),Total fractions (kg),Fractions (#),fermentation_prep,fermentation_time,fermentation_post,harvesting_time,FAM/MF_time,UF_time,stab_time,UF_fractions,UF__Weight ccUF (kg),MF,Stab,lag_receival_fraction,Etanks required (#),min_number_fractions_start_FAM,lag_start_fam,UF_lag,key
157,24734,24736,MADMAX,V140,128440.0,52000.0,4.0,12.0,100.0,13.0,0,0.09246940244780417,0.038528917686585076,4,5,26758.3333333333,0,1,30.0,0.0,9.0,80.0,0.1259899208063355,82
158,24734,24736,MADMAX,V200,200000.0,80000.0,4.0,12.0,100.0,13.0,0,0.07999360051195904,0.033330666879982936,4,9,41666.6666666667,0,1,30.0,0.0,6.0,80.0,0.1259899208063355,83
160,25067,25063,CIN KPO,V100,60000.0,0.0,0.0,53.0,79.0,20.0,0,0.11001100110011001,0.05500550055005501,4,2,4615.38461538462,1,0,False,0.0,inf,False,0.12834616795012835,84
164,26708,26696,FUM,V100,61200.0,0.0,0.0,12.0,140.0,15.0,0,0.153,0.09333,4,1,11789.0526315789,0,0,False,0.0,inf,False,0.0875,85
165,26708,26696,FUM,V140,99400.0,0.0,0.0,12.0,140.0,15.0,0,0.2142,0.130662,4,1,16504.6736842105,0,0,False,0.0,inf,False,0.0875,86
168,26777,26773,CLI,V100,73000.0,0.0,0.0,12.0,135.0,15.0,0,0.27371578552680914,0.150087489063867,4,1,2001.41666666667,0,0,False,0.0,inf,False,0.13123359580052493,87
172,4552,4550,FUA,V100,95000.0,30000.0,3.0,23.0,115.0,15.0,0,32.06713554987212,62.691250009165394,4,1,3898.25590909091,0,0,80.0,0.0,12.0,100.0,7.4595055413469735,88
175,4552,4550,FUA,V218,206000.0,66000.0,3.0,23.0,115.0,11.0,0,34.95311167945439,68.33333334332359,4,2,8498.18181818182,0,0,60.0,0.0,5.0,100.0,7.4595055413469735,89
176,4557,4555,ARF,V100,164000.0,99000.0,9.0,8.0,154.0,20.0,0,19.218,42.79007813242884,4,2,3323.20247191011,0,0,60.0,0.0,11.0,130.0,7.368421052631579,90
177,4557,4555,ARF,V140,222170.0,144000.0,9.0,8.0,154.0,20.0,0,26.905263157894737,22.746209624258405,4,2,4652.49438202247,0,0,50.0,0.0,7.0,110.0,7.368421052631579,91
179,4557,4555,ARF,V218,357500.0,216000.0,9.0,14.0,154.0,20.0,0,27.930245614035087,62.188437510796604,4,3,7244.60359550562,0,0,50.0,0.0,5.0,90.0,7.368421052631579,92
180,4560,4558,ARO,V100,175000.0,100000.0,10.0,14.0,149.0,6.0,0,15.088571876706201,25.8055032925682,4,2,2992.5,0,0,58.0,0.0,12.0,138.0,5.486753409711346,93
181,4560,4558,ARO,V140,245000.0,150000.0,10.0,14.0,149.0,6.0,0,21.124000627388682,36.127704609595476,4,2,4189.5,0,0,48.0,0.0,8.0,118.0,5.486753409711346,94
184,4566,4564,BGF,V100,105000.0,0.0,0.0,15.0,87.0,22.0,0,16.836714285714287,26.59441016852328,4,1,6006.90516129032,0,0,False,0.0,inf,False,5.0,95
185,4566,4564,BGF,V140,105000.0,0.0,0.0,15.0,87.0,22.0,0,23.571428571428573,37.23221936589546,4,1,8409.67741935484,0,0,False,0.0,inf,False,5.0,96
188,4567,4564,BGF,V100,105000.0,0.0,0.0,15.0,87.0,22.0,0,22.52618501529052,35.59137232415902,4,1,6006.90516129032,0,1,False,0.0,inf,False,6.68960244648318,97
189,4567,4564,BGF,V140,105000.0,0.0,0.0,15.0,81.0,22.0,12,60.0,36.418359671664284,4,1,6809.37931106803,0,1,False,0.0,inf,False,12.727272727272727,98
192,4582,4580,CYT,V100,100000.0,44000.0,2.0,15.0,86.0,19.0,0,18.36667759951405,36.083513322831195,4,1,2709.18918918919,0,1,60.0,0.0,5.0,70.0,5.73958674984814,99
196,4586,4584,FRO,V100,166000.0,96000.0,8.0,13.0,97.0,7.0,8,15.560792715864324,20.529250537529897,4,2,12110.0968421053,0,0,40.0,0.0,10.0,88.0,6.248884127945883,100
197,4586,4584,FRO,V140,173000.0,136000.0,8.0,13.0,97.0,7.0,8,21.785127656164704,28.740974307145716,4,2,16954.1494736842,0,0,32.0,0.0,7.0,80.0,6.248884127945883,101
198,4586,4584,FRO,V200,344000.0,208000.0,8.0,13.0,97.0,7.0,8,22.615009224947006,29.835831552088063,4,3,26400.0,0,0,False,0.0,4.0,56.0,6.248884127945883,102
199,4586,4584,FRO,V218,344000.0,208000.0,8.0,13.0,96.0,7.0,8,27.333333333630435,23.475197562601164,4,3,20770.7788362216,0,0,False,0.0,4.0,56.0,7.798913043563032,103
202,4591,4589,GOX,V200,205000.0,50000.0,2.0,13.0,129.0,24.0,20,18.85822047006443,33.333333333333336,4,2,10399.9999988182,0,0,77.0,0.0,5.0,88.0,6.000342876838682,104
203,4591,4589,GOX,V218,205000.0,50000.0,2.0,13.0,129.0,24.0,20,18.85822047006443,33.333333333333336,4,2,10399.9999988182,0,0,77.0,0.0,5.0,88.0,6.000342876838682,105
204,4594,10244,INV,V100,80000.0,0.0,0.0,10.0,80.0,8.0,0,21.94411109243861,51.550985405312765,4,1,4540.37735607547,0,0,False,1.0,inf,False,6.000342876838682,106
206,4594,10244,INV,V200,174400.0,0.0,0.0,10.0,80.0,8.0,0,23.919081090758084,56.190574091790914,4,2,9898.02263624453,0,0,False,1.0,inf,False,6.000342876838682,107
208,4613,4611,LYX,V100,91700.0,36000.0,3.0,12.0,130.0,8.0,20,10.083361515049036,16.512202494187274,4,1,6792.97652173913,0,0,85.0,0.0,10.0,110.0,2.959080148799459,108
210,4613,4611,LYX,V200,200000.0,75000.0,3.0,12.0,138.0,8.0,20,10.990869124112276,17.99830902557599,4,2,14808.6956521739,0,0,60.0,0.0,5.0,110.0,2.959080148799459,109
211,4613,4611,LYX,V218,200000.0,75000.0,3.0,12.0,138.0,8.0,20,10.990869124112276,17.99830902557599,4,2,14808.6956521739,0,0,60.0,0.0,5.0,110.0,2.959080148799459,110
212,4616,4614,PEC,V100,176000.0,96000.0,8.0,14.0,105.0,8.0,10,32.3900831638536,35.57247658972445,4,1,5452.65659987883,0,1,48.0,0.0,10.0,96.0,5.491919033508425,111
213,4616,4614,PEC,V140,244000.0,136000.0,8.0,14.0,105.0,8.0,10,45.34614781178952,49.80150169139461,4,1,7633.72452284923,0,1,40.0,0.0,7.0,88.0,5.491919033508425,112
214,4616,4614,PEC,V200,380000.0,224000.0,8.0,14.0,105.0,6.0,10,35.30519378683987,38.77400292937769,4,2,11886.7924443396,0,1,False,0.0,4.0,64.0,5.491919033508425,113
215,4616,4614,PEC,V218,380000.0,224000.0,8.0,14.0,105.0,6.0,10,35.30519378683987,38.77400292937769,4,2,11886.7924443396,0,1,False,0.0,4.0,64.0,5.491919033508425,114
217,4627,4625,PNR,V140,80000.0,0.0,0.0,20.0,34.0,7.0,5,15.001500150465091,28.477218215553453,4,2,5937.499996875,0,0,False,1.0,inf,False,10.501050105325563,115
221,4630,4629,PBN,V140,72000.0,0.0,0.0,10.0,14.0,8.0,5,20.604395604395606,23.06629832872928,4,1,1908.57142742857,0,0,False,0.0,inf,False,6.009615384615385,116
224,4637,4635,XYL,V100,65000.0,0.0,0.0,19.0,51.0,21.0,9,6.639167157794531,13.016254063515879,4,1,1859.0,0,0,False,0.0,inf,False,3.4374386172013103,117
225,4637,4635,XYL,V140,91000.0,0.0,0.0,19.0,51.0,21.0,9,9.294834020912342,18.22275568892223,4,1,2602.6,0,0,False,0.0,inf,False,3.4374386172013103,118
229,4645,4643,FDA,V140,96600.0,0.0,0.0,28.0,140.0,9.0,16,35.0,28.932346723044393,4,2,6720.0,0,0,False,0.0,inf,False,14.919011082693947,119
233,4668,4625,PNR,V140,80000.0,0.0,0.0,20.0,34.0,7.0,5,9.924573243350537,23.845381517145388,4,2,5937.499996875,0,1,False,1.0,inf,False,6.947201270345375,120
238,4683,4681,EDX,V200,260000.0,140000.0,7.0,12.0,109.0,7.0,0,18.563268892794376,29.02671755725191,4,4,17111.25,0,0,40.0,0.0,6.0,86.0,7.6889279437609845,121
239,4683,4681,EDX,V218,260000.0,140000.0,7.0,12.0,109.0,7.0,0,18.563268892794376,29.02671755725191,4,4,17111.25,0,0,40.0,0.0,6.0,86.0,7.6889279437609845,122
240,4690,4614,PEC,V100,176000.0,96000.0,8.0,14.0,105.0,8.0,10,45.347539543058,61.27879554571204,4,1,5452.65659987883,0,0,48.0,0.0,10.0,96.0,7.6889279437609845,123
241,4690,4614,PEC,V140,244000.0,136000.0,8.0,14.0,105.0,8.0,10,63.486599297012305,85.79037313634626,4,1,7633.72452284923,0,0,40.0,0.0,7.0,88.0,7.6889279437609845,124
242,4690,4614,PEC,V200,380000.0,224000.0,8.0,14.0,105.0,6.0,10,49.428822495606326,66.79389308206106,4,2,11886.7924443396,0,0,False,0.0,4.0,64.0,7.6889279437609845,125
243,4690,4614,PEC,V218,380000.0,224000.0,8.0,14.0,105.0,6.0,10,49.428822495606326,66.79389308206106,4,2,11886.7924443396,0,0,False,0.0,4.0,64.0,7.6889279437609845,126
244,4725,10244,INV,V100,80000.0,0.0,0.0,10.0,80.0,8.0,0,34.13333333333333,76.98016630582214,4,1,4540.37735607547,0,1,False,1.0,inf,False,9.333333333333334,127
246,4725,10244,INV,V200,174400.0,0.0,0.0,10.0,80.0,8.0,0,37.205333333333336,83.90838127334612,4,2,9898.02263624453,0,1,False,1.0,inf,False,9.333333333333334,128
248,4727,4584,FRO,V100,166000.0,96000.0,8.0,13.0,97.0,7.0,8,23.2416,36.80291746641075,4,2,12110.0968421053,0,1,40.0,0.0,10.0,88.0,9.333333333333334,129
249,4727,4584,FRO,V140,173000.0,136000.0,8.0,13.0,97.0,7.0,8,32.538266666666665,51.524126679462576,4,2,16954.1494736842,0,1,32.0,0.0,7.0,80.0,9.333333333333334,130
250,4727,4584,FRO,V200,344000.0,208000.0,8.0,13.0,97.0,7.0,8,33.77777777777778,53.486884197056945,4,3,26400.0,0,1,False,0.0,4.0,56.0,9.333333333333334,131
251,4727,4584,FRO,V218,344000.0,208000.0,8.0,13.0,97.0,7.0,8,33.77777777777778,53.486884197056945,4,3,26400.0,0,1,False,0.0,4.0,56.0,9.333333333333334,132
252,4730,4555,ARF,V100,164000.0,99000.0,9.0,8.0,154.0,20.0,0,15.649032280452728,31.680057840616968,4,2,3323.20247191011,0,1,60.0,0.0,11.0,130.0,6.000034286013063,133
253,4730,4555,ARF,V140,222170.0,144000.0,9.0,8.0,154.0,20.0,0,21.90869662149913,22.746209624258405,4,2,4652.49438202247,0,1,50.0,0.0,7.0,110.0,6.000034286013063,134
255,4730,4555,ARF,V218,357500.0,216000.0,9.0,14.0,154.0,20.0,0,43.02814084616141,87.15459854014598,4,3,7244.60359550562,0,1,50.0,0.0,5.0,90.0,11.351474070358107,135
256,4742,4740,PHY,V100,140000.0,96000.0,8.0,15.0,178.0,15.0,0,14.400822904412838,30.051413863753215,4,2,14766.3157806316,0,0,63.0,0.0,10.0,144.0,6.000342876838682,136
259,4742,4740,PHY,V218,340000.0,200000.0,8.0,15.0,178.0,15.0,0,12.557517572647994,26.204832889192804,4,5,32190.5684017768,0,0,43.0,0.0,5.0,96.0,6.000342876838682,137
260,4758,4740,PHY,V100,140000.0,96000.0,8.0,15.0,178.0,15.0,0,14.400822904412838,30.051413863753215,4,2,14766.3157806316,0,1,63.0,0.0,10.0,144.0,6.000342876838682,138
263,4758,4740,PHY,V218,340000.0,200000.0,8.0,15.0,178.0,15.0,0,12.557517572647994,26.204832889192804,4,5,32190.5684017768,0,1,43.0,0.0,5.0,96.0,6.000342876838682,139
264,4764,4762,PEC KPO,V100,176000.0,108000.0,9.0,39.0,138.0,8.0,14,8.646263104497802,17.83367151740985,4,2,5532.53114418793,0,0,55.0,0.0,10.0,125.0,2.959080148799459,140
265,4764,4762,PEC KPO,V140,244000.0,148500.0,9.0,39.0,138.0,8.0,14,12.1047514372675,24.967105248026314,4,2,7745.53278219098,0,0,45.0,0.0,7.0,105.0,2.959080148799459,141
266,4764,4762,PEC KPO,V200,380000.0,243000.0,9.0,39.0,138.0,8.0,14,12.565888851313268,25.918241370891003,4,3,12060.9049107231,0,0,False,0.0,4.0,75.0,2.959080148799459,142
267,4764,4762,PEC KPO,V218,380000.0,243000.0,9.0,39.0,138.0,8.0,14,12.565888851313268,25.918241370891003,4,3,12060.9049107231,0,0,False,0.0,4.0,75.0,2.959080148799459,143
268,4781,4778,PLA,V100,100000.0,48000.0,4.0,10.0,162.0,8.0,14,26.675035305612347,39.96799604307986,4,1,7919.51219097561,0,0,80.0,0.0,10.0,120.0,5.491919033508425,144
270,4781,4778,PLA,V200,218000.0,80000.0,4.0,10.0,162.0,8.0,14,29.07578848311746,43.56511568695704,4,2,17264.5365763268,0,0,65.0,0.0,6.0,128.0,5.491919033508425,145
271,4781,4778,PLA,V218,218000.0,80000.0,4.0,10.0,162.0,8.0,14,29.07578848311746,43.56511568695704,4,2,17264.5365763268,0,0,65.0,0.0,6.0,128.0,5.491919033508425,146
272,4783,4580,CYT,V100,100000.0,44000.0,2.0,15.0,86.0,19.0,0,33.603360337041806,60.0959232721995,4,1,2709.18918918919,0,0,60.0,0.0,5.0,70.0,10.501050105325563,147
276,5119,4635,XYL,V100,65000.0,0.0,0.0,19.0,51.0,21.0,9,11.607142857142858,27.15284298807817,4,1,1859.0,0,1,False,0.0,inf,False,6.009615384615385,148
277,5119,4635,XYL,V140,91000.0,0.0,0.0,19.0,51.0,21.0,9,16.25,38.01398018330944,4,1,2602.6,0,1,False,0.0,inf,False,6.009615384615385,149
280,8283,4550,FUA,V100,95000.0,30000.0,3.0,23.0,115.0,15.0,0,14.776959340156912,32.16865341335334,4,1,3898.25590909091,0,1,80.0,0.0,12.0,100.0,3.4374386172013103,150
283,8283,4550,FUA,V218,206000.0,66000.0,3.0,23.0,115.0,11.0,0,16.10685523488614,35.06376594148537,4,2,8498.18181818182,0,1,60.0,0.0,5.0,100.0,3.4374386172013103,151
284,9084,9082,PME,V100,114000.0,48000.0,4.0,9.0,149.0,6.0,0,14.708217546645495,33.47891566769261,4,2,13338.0,0,0,76.0,0.0,10.0,124.0,6.947201270345375,152
288,9085,9082,PME,V100,114000.0,48000.0,4.0,9.0,149.0,6.0,0,14.708217546645495,33.47891566769261,4,2,13338.0,0,1,76.0,0.0,10.0,124.0,6.947201270345375,153
292,9935,9938,EPG,V100,120000.0,60000.0,5.0,12.0,164.0,9.0,7,17.135325131810195,27.951653944020357,4,2,11983.6363636364,0,1,72.0,0.0,10.0,144.0,7.6889279437609845,154
296,9936,9938,EPG,V100,120000.0,60000.0,5.0,12.0,164.0,9.0,7,17.135325131810195,27.951653944020357,4,2,11983.6363636364,0,0,72.0,0.0,10.0,144.0,7.6889279437609845,155
300,9975,9973,ASP,V100,75000.0,0.0,0.0,11.0,84.0,8.0,23,24.158933333333334,44.0517978246961,4,1,3202.46325581395,0,0,False,1.0,inf,False,9.333333333333334,156
302,9975,9973,ASP,V200,158000.0,0.0,0.0,11.0,84.0,8.0,23,26.333333333333332,48.016634676903394,4,2,6981.39534883721,0,0,False,1.0,inf,False,9.333333333333334,157
303,9975,9973,ASP,V218,158000.0,0.0,0.0,11.0,84.0,8.0,23,26.333333333333332,48.016634676903394,4,2,6981.39534883721,0,0,False,1.0,inf,False,9.333333333333334,158
304,9976,9973,ASP,V100,75000.0,0.0,0.0,11.0,84.0,8.0,23,24.158933333333334,44.0517978246961,4,1,3202.46325581395,0,1,False,1.0,inf,False,9.333333333333334,159
306,9976,9973,ASP,V200,158000.0,0.0,0.0,11.0,84.0,8.0,23,26.333333333333332,48.016634676903394,4,2,6981.39534883721,0,1,False,1.0,inf,False,9.333333333333334,160
307,9976,9973,ASP,V218,158000.0,0.0,0.0,11.0,84.0,8.0,23,26.333333333333332,48.016634676903394,4,2,6981.39534883721,0,1,False,1.0,inf,False,9.333333333333334,161
308,4742,4740,PHY,V42,62000.0,32000.0,8.0,15.0,178.0,15.0,0,12.096069120602335,25.19784061696658,4,1,6091.32677400784,0,0,103.0,0.0,31.0,144.0,6.000034286013063,162
309,4758,4740,PHY,V42,62000.0,32000.0,8.0,15.0,178.0,15.0,0,12.096069120602335,25.2431876455527,4,1,6102.28896610784,0,1,103.0,0.0,31.0,144.0,6.000034286013063,163
310,26777,26773,CLI,V42,29000.0,0.0,0.0,12.0,135.0,15.0,0,0.11497485628142964,39.28014018691589,4,1,840.595,0,0,False,0.0,inf,False,0.1312498359377051,164
311,27119,27115,PLS,V100,70000.0,0.0,0.0,15.0,114.0,15.0,20,14.189342587947634,37.50506891980941,4,2,5198.84766491565,0,0,False,0.0,inf,False,11.351474070358107,165
